CustomerID,Name,Email,Location,Gender,AgeGroup,CustomerType
CUST00059,Joshua Baker,cassandracarpenter@hotmail.com,"Josephstad, Massachusetts, Peru",Male,45-54,New
CUST00060,Brian Reynolds,stacycrawford@price.com,"Port Paulafort, New Jersey, Montserrat",Other,45-54,Returning
CUST00061,William Bailey,perkinsbrett@smith.com,"East Codyhaven, Missouri, Tonga",Male,45-54,VIP
CUST00062,William Thomas,larrywise@miller-moon.com,"West Ana, Connecticut, Madagascar",Female,18-24,Returning
CUST00063,William Hood,marygill@gmail.com,"Smithmouth, Vermont, Aruba",Female,55+,New
CUST00064,Steve Thomas,jacksonann@morgan-medina.com,"Powellmouth, Arkansas, Rwanda",Female,55+,New
CUST00065,Samantha Kelly,lshelton@clark.com,"Port Lindashire, Colorado, Peru",Other,45-54,New
CUST00066,Karen Roberts,yodom@ochoa.com,"Greeneshire, Arkansas, Guatemala",Male,55+,New
CUST00067,Patrick Thomas,hoodclayton@gmail.com,"Cristinatown, North Carolina, Lithuania",Female,55+,VIP
CUST00068,Nancy Lucas,marthablair@lopez-west.com,"Matthewton, New York, Argentina",Male,55+,New
CUST00069,Matthew White,rodgershelen@gmail.com,"Johnsonborough, Wisconsin, Brunei Darussalam",Female,55+,Returning
CUST00070,Casey Cole,lisabenson@tran.com,"Foleyhaven, Arizona, Gabon",Other,25-34,New
CUST00071,Nicole Clarke,jacobskatherine@davis-carr.com,"Christiemouth, Maryland, Liechtenstein",Male,25-34,New
CUST00072,George Robbins,casey88@miller-gross.com,"Amberhaven, Alaska, Timor-Leste",Female,35-44,Returning
CUST00073,Stacy Fitzgerald,idunn@johnston.com,"New Ebonymouth, Massachusetts, Ethiopia",Male,18-24,New
CUST00074,Lisa Patterson,ydrake@hotmail.com,"West Benjamin, Minnesota, New Zealand",Female,25-34,New
CUST00075,James Williams,ymurphy@thompson-fitzgerald.com,"Lake Adam, Maine, Slovakia (Slovak Republic)",Male,18-24,New
CUST00076,Michele Nichols,hayley50@yahoo.com,"Davisstad, New York, Iraq",Female,35-44,New
CUST00077,Adam Glenn,amanda50@hudson.net,"Kayleeburgh, Alaska, Isle of Man",Female,25-34,Returning
CUST00078,Jonathan Gonzalez,ebrown@chen-williams.net,"Millerfort, Montana, Spain",Other,45-54,Returning
CUST00079,Eric Morales,sanchezshaun@hotmail.com,"Andersonbury, Wisconsin, Micronesia",Male,55+,New
CUST00080,Kimberly Phillips,andrewhernandez@yahoo.com,"Port Mary, Georgia, Switzerland",Other,25-34,New
CUST00081,Katherine Taylor,vwiley@thomas-butler.com,"South Matthew, Oregon, Guinea",Female,25-34,New
CUST00082,Matthew Mitchell,elizabeth40@solomon.com,"North Jeremyview, Nevada, Cuba",Female,45-54,New
CUST00083,Theodore Copeland,nortonnichole@hotmail.com,"Margaretville, Alaska, British Virgin Islands",Male,55+,New
CUST00084,Craig Adams,anthony41@hotmail.com,"East Thomasview, Ohio, Turks and Caicos Islands",Other,35-44,New
CUST00085,Rebecca Hardy,gutierrezrobert@schaefer-douglas.com,"North Taylorland, South Carolina, Nauru",Male,55+,Returning
CUST00086,Brian Robinson,smckenzie@jacobson.com,"West Victoria, New Mexico, Moldova",Female,25-34,Returning
CUST00087,Jeffery Coleman,amanda91@burns-jackson.com,"Port Jonathan, Arizona, Poland",Female,55+,VIP
CUST00088,Ashley Gutierrez,kellymann@yahoo.com,"South Brittanyfort, Virginia, Rwanda",Other,25-34,New
CUST00089,Craig Bass,rgregory@kelley-webster.info,"East Brianside, North Dakota, Namibia",Male,18-24,VIP
CUST00090,Brian Thompson,lucerokaren@gmail.com,"West Lisabury, Oregon, Bulgaria",Male,25-34,New
CUST00091,Tristan Smith,melaniehorn@peterson.net,"Lake Brian, Vermont, Turkmenistan",Female,55+,Returning
CUST00092,Kristen Hall,taracummings@yahoo.com,"Loriview, Vermont, United States Minor Outlying Islands",Female,55+,Returning
CUST00093,Michelle Watts,zwatkins@hull.com,"Dennishaven, Texas, Malawi",Male,35-44,New
CUST00094,Christopher Hogan,mfernandez@gmail.com,"West Stephaniefurt, Rhode Island, Algeria",Male,18-24,New
CUST00095,Lori Ali,belldaniel@williams.com,"Bellfort, Nevada, Yemen",Male,55+,VIP
CUST00096,Natasha Clarke,brendagonzalez@lloyd-bray.com,"South Jasonbury, New Mexico, Jordan",Other,35-44,New
CUST00097,Melissa Washington,thomassummers@hotmail.com,"New Robin, Indiana, Barbados",Male,18-24,New
CUST00098,Kenneth Thompson,molly60@murphy.biz,"Bowmanberg, Washington, Poland",Other,45-54,New
CUST00099,Mrs. Kathleen Kim DVM,joannbrown@conley-coleman.com,"South Mikefurt, Alabama, Armenia",Other,45-54,New
CUST00100,David Manning,jeffgriffin@hernandez-young.com,"North Vickiefort, Kentucky, Korea",Male,18-24,Returning
CUST00101,Jeffrey Watkins,nguyenchad@yahoo.com,"Tiffanymouth, New Hampshire, Turkmenistan",Other,45-54,New
CUST00102,Crystal Church,juliehernandez@hotmail.com,"North Andre, Arizona, Philippines",Other,45-54,Returning
CUST00103,Dylan Watson,floresstephanie@brown-turner.com,"Butlerstad, Arkansas, Nauru",Female,45-54,New
CUST00104,Alexandra Rangel,shelbymason@yahoo.com,"Timhaven, Utah, Netherlands Antilles",Other,18-24,VIP
CUST00105,Veronica Farrell,diane25@morgan.com,"Tylerton, Montana, Yemen",Male,55+,New
CUST00106,Ethan Garcia,andersonsteven@gmail.com,"New Robert, Virginia, Niger",Female,35-44,Returning
CUST00107,Mark Young,obell@gmail.com,"North Kristishire, Hawaii, Northern Mariana Islands",Male,35-44,New
CUST00108,Rebecca Dominguez,mtaylor@davis.com,"Justinland, Rhode Island, Bulgaria",Female,35-44,New
CUST00109,Patty Jensen,kimberly78@gmail.com,"Andersonshire, South Dakota, Guam",Other,25-34,Returning
CUST00110,Brianna Manning,bryanmitchell@hotmail.com,"Adamstad, Wyoming, South Africa",Other,45-54,New
CUST00111,Laura Patterson,samuel43@fleming.com,"North Crystal, Minnesota, Benin",Male,45-54,New
CUST00112,Edward Wright,rodriguezchristina@gmail.com,"Jennymouth, Washington, Uzbekistan",Other,55+,VIP
CUST00113,Marilyn Pratt,edwinmeyer@yahoo.com,"East Jonathan, Alaska, Mexico",Male,35-44,VIP
CUST00114,Justin Fletcher,ssmith@hotmail.com,"Guerrerobury, Georgia, Thailand",Other,18-24,New
CUST00115,Michele Lyons,uburke@duncan.net,"Camposborough, Kentucky, American Samoa",Male,25-34,New
CUST00116,Mrs. Melinda Wells PhD,duncankarina@porter.com,"Jonathanchester, Illinois, Sri Lanka",Female,45-54,Returning
CUST00117,Jane Hernandez,johnsonjeremy@scott-hart.com,"West Danielmouth, New Mexico, Sweden",Male,35-44,Returning
CUST00118,Jennifer Mcgrath,rchavez@davis-peterson.com,"East Jason, Alabama, Macao",Female,55+,New
CUST00119,Elijah Gay,aliciastewart@short-solis.org,"Lake Davidmouth, Virginia, Cyprus",Male,25-34,New
CUST00120,Mr. Scott Carr,hjackson@gomez.com,"New Williamberg, Arkansas, Greenland",Other,35-44,New
CUST00121,Alex Blake,idavis@hotmail.com,"East Lindseyborough, Indiana, Peru",Female,35-44,New
CUST00122,Daniel Mueller,barnettlindsey@gmail.com,"Sarahchester, Illinois, Suriname",Male,55+,Returning
CUST00123,Roy Hall,patrick67@hawkins-keith.com,"Poolefort, New York, Angola",Male,45-54,New
CUST00124,Jessica Lyons,anthony20@horn-david.info,"Donaldmouth, Hawaii, Denmark",Other,35-44,New
CUST00125,Edward Quinn,nathan80@farrell.org,"Thomasfort, Nevada, Oman",Female,25-34,Returning
CUST00126,Anthony Palmer,mooretara@murillo.biz,"Bruceburgh, Alabama, United Arab Emirates",Other,18-24,Returning
CUST00127,Jessica Hanson,mary97@hotmail.com,"Lake Samantha, Idaho, Bosnia and Herzegovina",Male,55+,New
CUST00128,Tracy Douglas,padillasandra@yahoo.com,"Francofurt, Louisiana, Congo",Male,25-34,New
CUST00129,John Oliver,whunter@hotmail.com,"Lake Emilyhaven, Arizona, Libyan Arab Jamahiriya",Female,35-44,VIP
CUST00130,Amy Arnold,lindadavis@yahoo.com,"South Lisa, Michigan, Antarctica (the territory South of 60 deg S)",Other,55+,New
CUST00131,Anthony Patterson,smithkenneth@yahoo.com,"Mariamouth, Nevada, Jamaica",Other,25-34,New
CUST00132,Heather Cabrera,aharris@ramirez.com,"Kirkland, Colorado, Brazil",Other,18-24,Returning
CUST00133,Kathryn Ho,byrdwilliam@hotmail.com,"Kellychester, Wyoming, Central African Republic",Male,18-24,New
CUST00134,Tyler Valenzuela,tnewman@yahoo.com,"Lake Mark, Michigan, Slovakia (Slovak Republic)",Female,55+,New
CUST00135,Alexandria Morris,gary17@yahoo.com,"New Mary, Rhode Island, Poland",Male,18-24,New
CUST00136,Connor Smith,xevans@gmail.com,"Barbaraside, New Hampshire, Georgia",Male,55+,VIP
CUST00137,Daniel Galvan,rodneyspence@perry-willis.info,"Seanland, Alabama, Mauritius",Male,45-54,Returning
CUST00138,Wendy Conner,collinspatrick@mendoza.com,"North Natalieburgh, Hawaii, Egypt",Female,55+,New
CUST00139,James Sellers,jacob52@roberts.biz,"Richardfort, Washington, Bolivia",Female,18-24,New
CUST00140,Kenneth Warren,lopezashley@gmail.com,"Coreyborough, North Dakota, Somalia",Other,18-24,Returning
CUST00141,Angela Barr,connie80@yahoo.com,"Seanbury, Connecticut, Guatemala",Other,45-54,New
CUST00142,Kimberly Smith,sandra96@gmail.com,"Tamaraport, Ohio, Burkina Faso",Male,18-24,New
CUST00143,Dr. Jorge Lopez DVM,lucerostephen@yahoo.com,"North Lorraine, North Carolina, Andorra",Other,18-24,New
CUST00144,Joe Lewis,johnholt@gmail.com,"West Dylan, Alabama, Cocos (Keeling) Islands",Female,18-24,Returning
CUST00145,Robin Hill,fitzgeralddavid@gmail.com,"Kevinchester, Tennessee, Switzerland",Female,45-54,New
CUST00146,Anthony Pittman,egross@simpson.com,"Jessicaport, Tennessee, Venezuela",Other,45-54,Returning
CUST00147,Eric Holland,fsmith@kim-nichols.com,"West Melissaberg, New York, Guam",Female,45-54,New
CUST00148,Destiny Gordon,devin38@lopez-murray.com,"South Josephfort, New York, Togo",Female,25-34,Returning
CUST00149,Ryan Singh,bennettchristopher@alvarado.com,"West Adam, Illinois, Andorra",Other,35-44,Returning
CUST00150,Angela Brown,jenniferthompson@gmail.com,"East Michael, Arkansas, Algeria",Male,55+,New
CUST00151,Jennifer Adams,mezajeffrey@hotmail.com,"West Jonathanmouth, Delaware, Nauru",Male,35-44,Returning
CUST00152,Vanessa Wood,carly44@rose-sweeney.biz,"East Brian, Connecticut, New Zealand",Female,45-54,New
CUST00153,Mr. Billy Saunders,nwalter@green.biz,"Robbinsland, Nevada, Bermuda",Male,25-34,New
CUST00154,Christina Tucker,michaelgordon@villarreal.com,"Westbury, Missouri, Cambodia",Other,55+,New
CUST00155,Breanna Knight,stephanie92@gmail.com,"East Jillport, Missouri, Brazil",Male,35-44,New
CUST00156,Justin George,brendanguyen@young.net,"Ryanstad, Michigan, Saint Helena",Other,18-24,VIP
CUST00157,Deborah Rosales,pgrant@hoffman-richards.com,"North Brittanytown, Kansas, Falkland Islands (Malvinas)",Female,35-44,Returning
CUST00158,Kathryn Pham,smithsarah@scott-moore.net,"East Charles, Arkansas, Bahamas",Male,25-34,Returning
CUST00159,Sarah Harding,cbridges@king.com,"West Allisonhaven, Wyoming, Tajikistan",Female,18-24,New
CUST00160,Elizabeth Long,howardmicheal@payne.com,"Lake Stephen, New Hampshire, Paraguay",Male,55+,New
CUST00161,Sean Smith,sarahgarcia@barber-cook.info,"Elizabethborough, Michigan, Cote d'Ivoire",Male,35-44,Returning
CUST00162,George Steele,robert66@hotmail.com,"West Alicia, Arkansas, Armenia",Other,55+,New
CUST00163,Larry Day,stephaniemiller@cooper.com,"Waltonfurt, West Virginia, Ukraine",Other,25-34,New
CUST00164,Linda Williams,wilkersonvanessa@gmail.com,"New Sarahaven, Utah, Congo",Female,45-54,New
CUST00165,Ronald Palmer,edwardcoleman@campbell.org,"South Kristina, Louisiana, Pakistan",Other,35-44,Returning
CUST00166,Philip Williams,mark60@watson-richards.com,"West Michael, West Virginia, Ghana",Female,25-34,New
CUST00167,Hayden Morris,morrowsarah@chavez.info,"Richardmouth, Wyoming, American Samoa",Male,45-54,New
CUST00168,Margaret Hill,christina54@yahoo.com,"Zacharychester, Massachusetts, India",Male,18-24,New
CUST00169,Mary Adams,daniel88@hotmail.com,"West Kelseyview, Maryland, Myanmar",Female,45-54,New
CUST00170,Cynthia Baird PhD,christina96@savage.com,"South Antonio, Nevada, Antarctica (the territory South of 60 deg S)",Other,45-54,New
CUST00171,Craig Mitchell,elizabethdyer@gmail.com,"Rogermouth, Idaho, Somalia",Other,55+,Returning
CUST00172,Nicholas Harper,jessicaaguirre@hull.org,"Port Dana, Ohio, Mauritania",Other,55+,Returning
CUST00173,Hayley Shaffer,pking@alvarado.com,"Lake David, Nebraska, Tanzania",Other,25-34,New
CUST00174,Jacob Jacobson,vbutler@gregory.com,"New Jenniferton, New Mexico, Mexico",Other,35-44,New
CUST00175,John Mckee,navarroryan@gmail.com,"Newmanberg, Arizona, British Indian Ocean Territory (Chagos Archipelago)",Female,35-44,Returning
CUST00176,Laura Woodard,cheryl11@yahoo.com,"Pughtown, California, United States Virgin Islands",Other,45-54,Returning
CUST00177,Paul Mccarthy,andrea85@li.com,"South Stephanieview, Rhode Island, Aruba",Male,55+,New
CUST00178,Matthew Navarro,epowell@archer.com,"Moranmouth, California, Cameroon",Other,18-24,New
CUST00179,Melinda Brown,frodriguez@wilson.org,"Johnport, Virginia, Sao Tome and Principe",Female,55+,Returning
CUST00180,Adam Clark,cooktimothy@terry-steele.biz,"Perezbury, Alabama, Guatemala",Other,55+,New
CUST00181,Robert Salas,amckay@nash.com,"New Donnamouth, Mississippi, Bulgaria",Other,35-44,Returning
CUST00182,Melissa Simpson,carmen24@thomas.com,"West Jason, Kansas, Mongolia",Male,18-24,Returning
CUST00183,Timothy Lewis,stephaniemcpherson@espinoza-hensley.com,"Port Feliciaton, Hawaii, Kyrgyz Republic",Male,35-44,Returning
CUST00184,Jason Phillips,higginstiffany@yahoo.com,"Rachelbury, Hawaii, Kyrgyz Republic",Male,45-54,New
CUST00185,Brian Cook,danielhuber@hotmail.com,"Kevinshire, North Carolina, Guinea-Bissau",Female,55+,Returning
CUST00186,Collin Richardson,adamsdouglas@hotmail.com,"Nguyenbury, Texas, Northern Mariana Islands",Female,18-24,New
CUST00187,Kara Gutierrez,beth94@tran.biz,"North Shawn, Montana, Saudi Arabia",Male,45-54,VIP
CUST00188,Calvin Barnett,adrian12@gmail.com,"Lake Dwayne, Oregon, Cameroon",Female,35-44,New
CUST00189,Joshua Hicks,billyrivas@hotmail.com,"East Julietown, Missouri, Turkey",Male,18-24,Returning
CUST00190,Anthony Wiggins,rebeccahayes@gmail.com,"Davidfort, North Carolina, Estonia",Other,55+,New
CUST00191,Dr. David Flowers,samanthajohnson@hotmail.com,"Kaitlynburgh, Hawaii, Gibraltar",Male,18-24,New
CUST00192,Frances Lewis,darren10@meyer.com,"Paulview, Tennessee, Liberia",Other,55+,New
CUST00193,Austin Shah,lori27@wood.com,"Rogerville, Nevada, Mauritius",Male,25-34,New
CUST00194,Jessica Serrano,farmerhaley@hotmail.com,"Tammyland, New Jersey, Gabon",Female,18-24,Returning
CUST00195,Brianna Gill,joelnorris@graham-price.com,"Johnsonland, Michigan, Egypt",Other,55+,Returning
CUST00196,Suzanne Hill,jeremy17@smith.com,"North Kevin, Ohio, Bahrain",Other,35-44,Returning
CUST00197,Todd Beck,matthewwagner@benson.com,"Collinsview, New Hampshire, Aruba",Female,35-44,New
CUST00198,Gary Pace,yolanda13@yahoo.com,"West Jeffrey, Pennsylvania, Bermuda",Male,25-34,Returning
CUST00199,Marissa Frederick,mary35@murphy.com,"South Natasha, Utah, Comoros",Female,45-54,New
CUST00200,Amber Short,bradleyrenee@richardson.net,"North Christopher, Colorado, India",Male,45-54,Returning
CUST00201,Patricia Martinez,robertrobertson@gmail.com,"North Allenburgh, South Carolina, Brunei Darussalam",Female,35-44,New
CUST00202,Sandra Foster,mollykim@montgomery.com,"Christopherburgh, Mississippi, Argentina",Female,45-54,New
CUST00203,Justin Wood,amy47@yahoo.com,"North Bobbyfort, Montana, Norway",Female,18-24,New
CUST00204,Melissa Hansen,kathryn57@gmail.com,"Alvarezview, Alabama, Azerbaijan",Male,55+,New
CUST00205,Barbara Cortez,donaldbyrd@evans.com,"Tylerview, Ohio, Comoros",Other,18-24,New
CUST00206,Julia Williams,tthomas@smith-stanley.com,"Eduardomouth, Nevada, Mauritania",Female,18-24,New
CUST00207,Dana Nelson,timothy73@yahoo.com,"Thompsonburgh, Idaho, Sri Lanka",Female,18-24,New
CUST00208,Tracy Baker,gallegosleah@richard.com,"Brewerville, Idaho, Kiribati",Male,18-24,New
CUST00209,Lisa Wright,terrymorrison@yahoo.com,"Amyshire, Illinois, Saint Vincent and the Grenadines",Female,25-34,New
CUST00210,Veronica Huynh,angelasmith@yahoo.com,"Brooksshire, Michigan, Monaco",Female,25-34,New
CUST00211,Katherine Brown,robert27@smith-steele.com,"North Susanbury, Wisconsin, Gabon",Female,25-34,Returning
CUST00212,Roger Roberts,jordancarol@gmail.com,"Mcdonaldhaven, Connecticut, Jamaica",Male,25-34,Returning
CUST00213,Amy Davidson,zoelopez@hotmail.com,"East Paulburgh, Wyoming, Bouvet Island (Bouvetoya)",Female,25-34,New
CUST00214,Robert Hunter,ericaalexander@yahoo.com,"Lake Natalieside, Oregon, Gambia",Male,35-44,VIP
CUST00215,Joshua Lopez,allenmichelle@hill.com,"Adamsbury, Wyoming, Cyprus",Male,25-34,New
CUST00216,Jennifer Sullivan,ayoung@yahoo.com,"South Victoria, Oregon, Equatorial Guinea",Male,18-24,Returning
CUST00217,Roger Moreno,james41@gmail.com,"Colemanstad, Texas, Colombia",Male,45-54,Returning
CUST00218,Johnathan Jones,jessicaorr@daniel.biz,"Kristinborough, Texas, Andorra",Female,55+,New
CUST00219,Juan Combs,jpayne@powell-wallace.com,"Mollymouth, North Dakota, Macao",Male,45-54,New
CUST00220,Nicholas Hale,anthony21@hotmail.com,"South Roberttown, Hawaii, Bhutan",Female,25-34,New
CUST00221,Frank Smith,reyesjohn@martinez.com,"Pruittfort, Kansas, Nauru",Male,18-24,New
CUST00222,Erica Adams,smithbrent@gmail.com,"Sloanborough, Vermont, Central African Republic",Female,45-54,New
CUST00223,Sean Cunningham,henrybrian@gmail.com,"Port Jacqueline, New Jersey, French Polynesia",Male,55+,Returning
CUST00224,Sylvia Oconnor,jameshardy@murphy-simpson.com,"Lake Maryborough, South Carolina, Guinea",Female,18-24,New
CUST00225,Courtney Mckay,awilkinson@schneider-jackson.com,"Johnsonberg, Delaware, Spain",Female,35-44,Returning
CUST00226,Anthony Roberts,xkeith@hotmail.com,"Waltersview, New Jersey, Senegal",Female,18-24,New
CUST00227,David Rogers,xwashington@hotmail.com,"New Jasmine, Oregon, Greece",Male,35-44,VIP
CUST00228,David Ford,dweiss@hotmail.com,"New Stevenborough, Missouri, Indonesia",Male,45-54,New
CUST00229,Michael Turner,bradley81@hotmail.com,"Lake Marthafort, Massachusetts, Turks and Caicos Islands",Other,55+,VIP
CUST00230,Mrs. Dana Edwards,gcooper@oconnor-west.com,"Stephensonmouth, Montana, Cayman Islands",Male,25-34,VIP
CUST00231,Monique Gordon,aguilarjorge@gmail.com,"Port Gina, Kentucky, Aruba",Male,55+,New
CUST00232,Julie Cruz,evan08@martin.net,"South Jonathanborough, North Carolina, Belgium",Female,35-44,Returning
CUST00233,Christina Stein,morrisdebra@yahoo.com,"East Samuel, New Mexico, Philippines",Male,25-34,New
CUST00234,Mark Garcia,rachelmartinez@brown.com,"West Rachel, Alabama, Seychelles",Male,35-44,New
CUST00235,Tiffany Chandler,murphyheidi@best.biz,"Ingramside, Montana, Faroe Islands",Female,25-34,New
CUST00236,Julia Bennett,reneegarrett@ramirez-parker.net,"West Kevinhaven, Hawaii, Kyrgyz Republic",Other,25-34,VIP
CUST00237,Brett Ryan,lisa62@thompson-carlson.com,"South Carl, Indiana, Micronesia",Female,45-54,New
CUST00238,Jennifer Sullivan,cgutierrez@garcia.com,"Jordanport, Louisiana, Saint Kitts and Nevis",Male,55+,New
CUST00239,Anita Farmer,ghenderson@brown.biz,"South Renee, Iowa, Turkmenistan",Male,25-34,New
CUST00240,John Simmons,morenoerin@gmail.com,"Larryhaven, Vermont, Israel",Male,45-54,New
CUST00241,Anthony Jackson,opatterson@rogers.com,"Coleport, Georgia, Guadeloupe",Female,25-34,Returning
CUST00242,Willie Richardson,zlucero@fields-sullivan.org,"North Rachelfort, Mississippi, Korea",Other,18-24,Returning
CUST00243,Heather Madden,riverajames@dodson-livingston.com,"Jonesstad, Minnesota, Kenya",Female,55+,New
CUST00244,Stephanie Horton,john39@gmail.com,"North Cameron, West Virginia, Comoros",Female,45-54,New
